L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	64	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	156	78.0	13.879426103102855	10	0.9946358817078099	20125
20	20000	0.01	0	2	64	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	78	39.0	9.213828297446288	10	1.0195705521844765	1
20	20000	0.01	0	1	1	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	10000	5000.0	50.01	10	0.8794155717733049	30001
20	20000	0.01	0	2	1	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	5000	2500.0	25.01	10	0.8953218926851068	25001
20	20000	0.01	0	1	4	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	2500	1250.0	12.51	10	0.9621083572803265	22501
20	20000	0.01	0	2	4	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	1250	625.0	6.26	10	0.9125783128281263	21183
20	20000	0.01	0	1	16	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	625	312.5	3.1350000000000002	10	0.9789511374592117	20593
20	20000	0.01	0	2	16	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	312	156.0	1.57	10	0.9663819756031748	20281
20	20000	0.01	0	1	64	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	156	78.0	0.79	10	0.9904059027122386	20125
20	20000	0.01	0	2	64	0.01	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	78	39.0	0.4	10	0.9650587311538591	20047
20	20000	0.01	0	1	1	0.1	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	10000	5000.0	500.1	10	0.6214404999396119	29998
20	20000	0.01	0	2	1	0.1	1.0	0.5	0.2	0.101	0.5	0.5	1.0	0.02	5000	2500.0	250.10000000000002	10	0.8560829572064936	24996
